CharacterName|WikiLink
Angus Buchanan|Angus_Buchanan
Bartemius Crouch Junior|Bartemius_Crouch_Junior
Arthur Weasley's brothers|Arthur_Weasley%27s_brothers
Alphard Black|Alphard_Black
Iola Black|Iola_Black
Phineas Black|Phineas_Black
Sirius Black|Sirius_Black
Cedrella Black|Cedrella_Black
Eduardus Limette Black|Eduardus_Limette_Black
Remus Lupin|Remus_Lupin
Edward Lupin|Edward_Lupin
Marius Black|Marius_Black
Andromeda Tonks|Andromeda_Tonks
Edward Tonks|Edward_Tonks
Nymphadora Tonks|Nymphadora_Tonks
Weasley children's cousin|Weasley_children%27s_cousin
Arthur Weasley|Arthur_Weasley
Merope Riddle|Merope_Riddle
Rionach Sayre|Rionach_Sayre
Altheda|Altheda
Amata|Amata
Amata's lover|Amata%27s_lover
Asha|Asha
Britannia|Britannia
Captain of the Brigade of Witch-Hunters|Captain_of_the_Brigade_of_Witch-Hunters
Charlatan|Charlatan
Crapaud|Crapaud
Death (The Tale of the Three Brothers)|Death_(The_Tale_of_the_Three_Brothers)
Count Dracula|Count_Dracula
Evil sorcerer|Evil_sorcerer
Father Christmas|Father_Christmas
Flurry|Flurry
Grenouille|Grenouille
Grumble|Grumble
Dirgah Hagrid|Dirgah_Hagrid
The Hopping Pot|The_Hopping_Pot
King (Babbitty Rabbitty and her Cackling Stump)|King_(Babbitty_Rabbitty_and_her_Cackling_Stump)
Maiden|Maiden
Martin Miggs|Martin_Miggs
Loony Nonby|Loony_Nonby
Old man's donkey|Old_man%27s_donkey
Old man's family|Old_man%27s_family
Peasant woman|Peasant_woman
Peasant woman's granddaughter|Peasant_woman%27s_granddaughter
Babbitty Rabbity|Babbitty_Rabbity
Sabre|Sabre
Sir Luckless|Sir_Luckless
The Maiden's kinsfolk|The_Maiden%27s_kinsfolk
Unidentified Old Man|Unidentified_Old_Man
Warlock (The Warlock's Hairy Heart)|Warlock_(The_Warlock%27s_Hairy_Heart)
The Warlock's friends|The_Warlock%27s_friends
Wee Willykins|Wee_Willykins
Gigantic white worm|Gigantic_white_worm
Wizard (The Wizard and the Hopping Pot)|Wizard_(The_Wizard_and_the_Hopping_Pot)
Wizard's father|Wizard%27s_father
Young woman|Young_woman
Young woman's child|Young_woman%27s_child
Albus Dumbledore|Albus_Dumbledore
Abernathy|Abernathy
Bathilda Bagshot|Bathilda_Bagshot
Cuthbert Binns|Cuthbert_Binns
Bloody Baron|Bloody_Baron
Reginald Cattermole|Reginald_Cattermole
Penelope Clearwater|Penelope_Clearwater
Vincent Crabbe|Vincent_Crabbe
Bartemius Crouch Junior's mother|Bartemius_Crouch_Junior%27s_mother
Gregory Goyle|Gregory_Goyle
Hermione Granger|Hermione_Granger
Percival Graves|Percival_Graves
Gellert Grindelwald|Gellert_Grindelwald
Mafalda Hopkirk|Mafalda_Hopkirk
Bellatrix Lestrange|Bellatrix_Lestrange
Alastor Moody|Alastor_Moody
Red-haired Muggle boy|Red-haired_Muggle_boy
Harry Potter|Harry_Potter
Tom Riddle|Tom_Riddle
Albert Runcorn|Albert_Runcorn
Stanley Shunpike|Stanley_Shunpike
Severus Snape|Severus_Snape
Unidentified little girl|Unidentified_little_girl
Ronald Weasley|Ronald_Weasley
Euan Abercrombie|Euan_Abercrombie
Sakura Akagi|Sakura_Akagi
Zakir Akram|Zakir_Akram
Nick Alas|Nick_Alas
Filemina Alchin|Filemina_Alchin
Christian Alexander|Christian_Alexander
Astrix Alixan|Astrix_Alixan
Brandon Angel|Brandon_Angel
Jada Angela|Jada_Angela
Owen Anthony|Owen_Anthony
Angelina Appleby|Angelina_Appleby
Oona Ballington|Oona_Ballington
Pete Balsall|Pete_Balsall
Allison Barnes|Allison_Barnes
Concepta Battista|Concepta_Battista
Katie Bell|Katie_Bell
